platform,sceneid,productid,acqdate,tileid
Sentinel 2,S2B_MSIL1C_20180731T074609_N0206_R135_T39VVC_20180731T100545,006d852b-0206-4329-8bde-ff0be6051875,2018-07-31 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180731T074609_N0206_R135_T39VUC_20180731T100545,5e7c9af3-56c6-497c-8fdd-6ed45f8ee37b,2018-07-31 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20180731T074609_N0206_R135_T39UVB_20180731T100545,17c16430-d634-47d6-9744-92699b119789,2018-07-31 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180731T074609_N0206_R135_T39UUB_20180731T100545,ba3205ff-8316-46e9-80e6-2080eb07b6a3,2018-07-31 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180729T075611_N0206_R035_T39UUB_20180729T092130,45ad3237-2cc4-4b3e-b6a3-fba0487d48b7,2018-07-29 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180726T074611_N0206_R135_T39VVC_20180726T091254,d01b1ed1-4215-453a-818f-d3e3be9696ee,2018-07-26 00:00:00,T39VVC
Sentinel 2,S2A_MSIL1C_20180726T074611_N0206_R135_T39UVB_20180726T091254,b742c534-e0d6-4221-8971-91f47cf4e729,2018-07-26 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20180726T074611_N0206_R135_T39UUB_20180726T091254,f3654d61-7df7-4db7-9f86-cef455388d88,2018-07-26 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180726T074611_N0206_R135_T39VUC_20180726T091254,b5013150-fede-459e-a3f7-8f1ae705d8bd,2018-07-26 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20180724T075609_N0206_R035_T39UUB_20180724T100634,1844e805-0328-46a8-934e-c59514354eed,2018-07-24 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180721T074609_N0206_R135_T39VUC_20180721T100639,c46e398f-96cf-41b3-906b-3bf0a9979cc3,2018-07-21 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20180721T074609_N0206_R135_T39UUB_20180721T100639,b960973c-c5ea-4b48-bb94-4b44893a99c2,2018-07-21 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180719T075611_N0206_R035_T39UVB_20180719T090620,297384fc-9be3-4da3-af0d-5250edcec4e6,2018-07-19 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20180716T074611_N0206_R135_T39VVC_20180716T091929,85c6119d-e24d-4306-a614-7b4d56d0cf68,2018-07-18 00:00:00,T39VVC
Sentinel 2,S2A_MSIL1C_20180716T074611_N0206_R135_T39VUC_20180716T091929,e8c9fe34-21ac-4987-bf50-7bb640482e2b,2018-07-18 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180716T074611_N0206_R135_T39UVB_20180716T091929,afe227ef-4bc5-49e1-8be0-4857d818182f,2018-07-18 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20180716T074611_N0206_R135_T39UUB_20180716T091929,74ebbdb4-46f4-44a0-9372-af393baf1faf,2018-07-18 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180714T075609_N0206_R035_T39UVB_20180714T101554,323390bf-bd3c-4701-8f99-5e271688168d,2018-07-15 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180714T075609_N0206_R035_T39UUB_20180714T101554,4d5462c7-838c-418d-b81c-25fc1477b003,2018-07-15 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180714T075609_N0206_R035_T39VUC_20180714T101554,f32a8b19-3a8d-4538-ab68-21b7962d8cf8,2018-07-15 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20180714T075609_N0206_R035_T39VVC_20180714T101554,4c712bd7-b73a-4d02-99ca-6ff8a4b672ee,2018-07-15 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180711T074609_N0206_R135_T39UUB_20180711T095408,248d4eb6-f018-4432-a790-3324177744f1,2018-07-11 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180711T074609_N0206_R135_T39VUC_20180711T095408,5a374cda-eb67-4341-b54b-4b0045e8c05f,2018-07-11 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180709T075611_N0206_R035_T39VVC_20180709T100339,98a3bbea-851d-4837-ad03-6fef3f4a7254,2018-07-09 00:00:00,T39VVC
